2023-09-22 19:30:00,816 Starting training...
2023-09-22 19:41:45,644 Epoch: 1, Batch: 16, Loss: [0.004201010800898075, 1.0]
2023-09-22 19:41:51,011 Epoch: 2, Batch: 0, Loss: [1.8838170490198536e-06, 1.0]
2023-09-22 19:41:53,824 Epoch: 2, Batch: 1, Loss: [0.001721072942018509, 1.0]
2023-09-22 19:41:56,575 Epoch: 2, Batch: 2, Loss: [7.842652848921716e-06, 1.0]
2023-09-22 19:41:59,408 Epoch: 2, Batch: 3, Loss: [0.017831088975071907, 1.0]
2023-09-22 19:42:02,167 Epoch: 2, Batch: 4, Loss: [0.0007350877858698368, 1.0]
2023-09-22 19:42:05,073 Epoch: 2, Batch: 5, Loss: [0.0014978699618950486, 1.0]
2023-09-22 19:42:07,927 Epoch: 2, Batch: 6, Loss: [3.052649481105618e-05, 1.0]
2023-09-22 19:42:10,839 Epoch: 2, Batch: 7, Loss: [1.487053759774426e-05, 1.0]
2023-09-22 19:42:13,690 Epoch: 2, Batch: 8, Loss: [0.1855306327342987, 0.96875]
2023-09-22 19:42:16,498 Epoch: 2, Batch: 9, Loss: [8.84670892098427e-10, 1.0]
2023-09-22 19:42:19,389 Epoch: 2, Batch: 10, Loss: [0.6566755175590515, 0.96875]
2023-09-22 19:42:22,208 Epoch: 2, Batch: 11, Loss: [2.2992179271597024e-09, 1.0]
2023-09-22 19:42:25,026 Epoch: 2, Batch: 12, Loss: [1.0654572406565421e-06, 1.0]
2023-09-22 19:42:27,824 Epoch: 2, Batch: 13, Loss: [7.65061668062117e-06, 1.0]
2023-09-22 19:42:30,656 Epoch: 2, Batch: 14, Loss: [0.11964958906173706, 0.96875]
2023-09-22 19:42:33,418 Epoch: 2, Batch: 15, Loss: [1.2962574146513361e-05, 1.0]
2023-09-22 19:42:36,203 Epoch: 2, Batch: 16, Loss: [0.00014442413521464914, 1.0]
2023-09-22 19:42:41,407 Epoch: 3, Batch: 0, Loss: [0.004265297669917345, 1.0]
2023-09-22 19:42:44,208 Epoch: 3, Batch: 1, Loss: [0.07575178146362305, 0.96875]
2023-09-22 19:42:47,037 Epoch: 3, Batch: 2, Loss: [0.024187887087464333, 1.0]
2023-09-22 19:42:49,782 Epoch: 3, Batch: 3, Loss: [2.1930409275228158e-05, 1.0]
